单词,音标,词性,释义,复数形式,过去式,过去分词,现在分词,比较级,最高级
abandon,/əˈbændən/,v.,抛弃；放弃,,abandoned,abandoned,abandoning,,
ability,/əˈbɪləti/,n.,能力；才能,abilities,,,,,
able,/ˈeɪbl/,adj.,能够的；有能力的,,,,,abler,ablest
abroad,/əˈbrɔːd/,adv.,在国外；到国外,,,,,,
absence,/ˈæbsəns/,n.,缺席；不在,absences,,,,,
absolute,/ˈæbsəluːt/,adj.,绝对的；完全的,,,,,,
absorb,/əbˈzɔːb/,v.,吸收；使全神贯注,,absorbed,absorbed,absorbing,,
abstract,/ˈæbstrækt/,adj.,抽象的；深奥的,,,,,,
abundant,/əˈbʌndənt/,adj.,丰富的；充裕的,,,,,more abundant,most abundant
academic,/ˌækəˈdemɪk/,adj.,学术的；学业的,,,,,,
accept,/əkˈsept/,v.,接受；同意,,accepted,accepted,accepting,,
access,/ˈækses/,n.,通道；机会；使用权,,,,,,
accident,/ˈæksɪdənt/,n.,事故；意外,accidents,,,,,
accompany,/əˈkʌmpəni/,v.,陪伴；伴随,,accompanied,accompanied,accompanying,,
accomplish,/əˈkʌmplɪʃ/,v.,完成；实现,,accomplished,accomplished,accomplishing,,
account,/əˈkaʊnt/,n.,账户；描述；解释,accounts,,,,,
accurate,/ˈækjərət/,adj.,准确的；精确的,,,,,more accurate,most accurate
achieve,/əˈtʃiːv/,v.,实现；达到,,achieved,achieved,achieving,,
achievement,/əˈtʃiːvmənt/,n.,成就；成绩,achievements,,,,,
acknowledge,/əkˈnɒlɪdʒ/,v.,承认；致谢,,acknowledged,acknowledged,acknowledging,,
